geo;age;tkpy;it
AT;TOTAL;9;TRUE
BE;TOTAL;9;TRUE
BG;TOTAL;9;TRUE
CH;TOTAL;9;TRUE
CY;TOTAL;9;TRUE
CY;TOTAL;0;FALSE
CZ;TOTAL;5;TRUE
DE;TOTAL;9;TRUE
DK;TOTAL;5;TRUE
EE;TOTAL;9;TRUE
EL;TOTAL;9;TRUE
EL;TOTAL;0;FALSE
ES;TOTAL;9;TRUE
FI;TOTAL;9;TRUE
FR;TOTAL;9;TRUE
HR;TOTAL;9;TRUE
IE;TOTAL;9;TRUE
IE;TOTAL;0;FALSE
IS;TOTAL;100;TRUE
IT;TOTAL;9;TRUE
LI;TOTAL;100;TRUE
LT;TOTAL;7;TRUE
LU;TOTAL;9;TRUE
LV;TOTAL;9;TRUE
MT;TOTAL;9;TRUE
MT;TOTAL;0;FALSE
NL;TOTAL;9;TRUE
NL;TOTAL;7;TRUE
NO;TOTAL;9;TRUE
PL;TOTAL;9;TRUE
PL;TOTAL;7;TRUE
PT;TOTAL;9;TRUE
PT;TOTAL;7;TRUE
RO;TOTAL;0;FALSE
SE;TOTAL;9;TRUE
SE;TOTAL;100;TRUE
SI;TOTAL;9;TRUE
SK;TOTAL;100;TRUE
HU;TOTAL;9;TRUE
HU;TOTAL;100;TRUE
HU110;TOTAL;9;TRUE
HU110;TOTAL;100;TRUE
HU120;TOTAL;9;TRUE
HU120;TOTAL;7;TRUE
HU211;TOTAL;7;TRUE
HU212;TOTAL;9;TRUE
HU213;TOTAL;9;TRUE
HU221;TOTAL;7;TRUE
HU222;TOTAL;9;TRUE
HU223;TOTAL;9;TRUE
HU231;TOTAL;9;TRUE
HU232;TOTAL;9;TRUE
HU233;TOTAL;7;TRUE
HU233;TOTAL;9;TRUE
HU311;TOTAL;7;TRUE
HU311;TOTAL;9;TRUE
HU312;TOTAL;5;TRUE
HU312;TOTAL;9;TRUE
HU313;TOTAL;7;TRUE
HU313;TOTAL;9;TRUE
HU321;TOTAL;9;TRUE
HU322;TOTAL;7;TRUE
HU322;TOTAL;9;TRUE
HU323;TOTAL;9;TRUE
HU331;TOTAL;9;TRUE
HU332;TOTAL;7;TRUE
HU332;TOTAL;9;TRUE
HU333;TOTAL;7;TRUE
HU333;TOTAL;100;TRUE
